jobID,skill,rating
Chief.Executives,Active Learning,4.75
Chief.Sustainability.Officers,Active Learning,3.88
General.and.Operations.Managers,Active Learning,3.62
Advertising.and.Promotions.Managers,Active Learning,4.12
Marketing.Managers,Active Learning,4.12
Sales.Managers,Active Learning,3.88
Administrative.Services.Managers,Active Learning,3.38
Computer.and.Information.Systems.Managers,Active Learning,3.88
Financial.Managers,Active Learning,4
Treasurers.and.Controllers,Active Learning,4.25
Investment.Fund.Managers,Active Learning,3.88
Industrial.Production.Managers,Active Learning,4
Quality.Control.Systems.Managers,Active Learning,4
Geothermal.Production.Managers,Active Learning,3.25
Biofuels.Production.Managers,Active Learning,3.62
Biomass.Power.Plant.Managers,Active Learning,3.38
Hydroelectric.Production.Managers,Active Learning,3.62
Purchasing.Managers,Active Learning,3.88
"Transportation,.Storage,.and.Distribution.Managers",Active Learning,3.66
Supply.Chain.Managers,Active Learning,3.75
Compensation.and.Benefits.Managers,Active Learning,3.75
Human.Resources.Managers,Active Learning,4
Training.and.Development.Managers,Active Learning,4.25
"Farmers,.Ranchers,.and.Other.Agricultural.Managers",Active Learning,3.42
Construction.Managers,Active Learning,3.88
"Education.and.Childcare.Administrators,.Preschool.and.Daycare",Active Learning,3.88
"Education.Administrators,.Kindergarten.through.Secondary",Active Learning,4.12
"Education.Administrators,.Postsecondary",Active Learning,4
Architectural.and.Engineering.Managers,Active Learning,3.88
Biofuels/Biodiesel.Technology.and.Product.Development.Managers,Active Learning,3.75
Food.Service.Managers,Active Learning,3.75
Gambling.Managers,Active Learning,3.62
Lodging.Managers,Active Learning,3.88
Medical.and.Health.Services.Managers,Active Learning,4
Natural.Sciences.Managers,Active Learning,4.75
Clinical.Research.Coordinators,Active Learning,4
Water.Resource.Specialists,Active Learning,3.75
Postmasters.and.Mail.Superintendents,Active Learning,3.12
"Property,.Real.Estate,.and.Community.Association.Managers",Active Learning,3.12
Social.and.Community.Service.Managers,Active Learning,3.88
Emergency.Management.Directors,Active Learning,4.38
Funeral.Home.Managers,Active Learning,3
Fitness.and.Wellness.Coordinators,Active Learning,3.5
Spa.Managers,Active Learning,3.88
Regulatory.Affairs.Managers,Active Learning,3.88
Compliance.Managers,Active Learning,3.88
Loss.Prevention.Managers,Active Learning,3.75
Wind.Energy.Operations.Managers,Active Learning,3.62
Wind.Energy.Development.Managers,Active Learning,4
Brownfield.Redevelopment.Specialists.and.Site.Managers,Active Learning,3.88
"Agents.and.Business.Managers.of.Artists,.Performers,.and.Athletes",Active Learning,3.5
"Buyers.and.Purchasing.Agents,.Farm.Products",Active Learning,3.12
"Wholesale.and.Retail.Buyers,.Except.Farm.Products",Active Learning,3.88
"Purchasing.Agents,.Except.Wholesale,.Retail,.and.Farm.Products",Active Learning,3.88
"Claims.Adjusters,.Examiners,.and.Investigators",Active Learning,3.31
"Insurance.Appraisers,.Auto.Damage",Active Learning,3
Compliance.Officers,Active Learning,3
Environmental.Compliance.Inspectors,Active Learning,4.12
Equal.Opportunity.Representatives.and.Officers,Active Learning,4
Government.Property.Inspectors.and.Investigators,Active Learning,3.38
Coroners,Active Learning,3.75
Regulatory.Affairs.Specialists,Active Learning,3.88
Customs.Brokers,Active Learning,3.62
Cost.Estimators,Active Learning,3.88
Human.Resources.Specialists,Active Learning,3.38
Farm.Labor.Contractors,Active Learning,2.38
Labor.Relations.Specialists,Active Learning,3.88
Logisticians,Active Learning,3.5
Logistics.Engineers,Active Learning,3.88
Logistics.Analysts,Active Learning,3.75
Management.Analysts,Active Learning,3.75
"Meeting,.Convention,.and.Event.Planners",Active Learning,3.12
Fundraisers,Active Learning,3.5
"Compensation,.Benefits,.and.Job.Analysis.Specialists",Active Learning,3.62
Training.and.Development.Specialists,Active Learning,3.75
Market.Research.Analysts.and.Marketing.Specialists,Active Learning,4
Search.Marketing.Strategists,Active Learning,3.88
Business.Continuity.Planners,Active Learning,3.75
Sustainability.Specialists,Active Learning,3.38
Online.Merchants,Active Learning,3.12
Accountants.and.Auditors,Active Learning,3.5
Appraisers.and.Assessors.of.Real.Estate,Active Learning,3.31
Budget.Analysts,Active Learning,3.38
Credit.Analysts,Active Learning,3.62
Personal.Financial.Advisors,Active Learning,3.25
Insurance.Underwriters,Active Learning,3.38
Financial.Examiners,Active Learning,4.12
Credit.Counselors,Active Learning,3.5
Loan.Officers,Active Learning,3.12
"Tax.Examiners.and.Collectors,.and.Revenue.Agents",Active Learning,3.62
Tax.Preparers,Active Learning,3.12
Financial.Quantitative.Analysts,Active Learning,4
"Fraud.Examiners,.Investigators.and.Analysts",Active Learning,3.5
Computer.Systems.Analysts,Active Learning,4.12
Health.Informatics.Specialists,Active Learning,4.75
Information.Security.Analysts,Active Learning,3.88
Computer.and.Information.Research.Scientists,Active Learning,4.88
Computer.Network.Support.Specialists,Active Learning,3.38
Computer.User.Support.Specialists,Active Learning,3.25
Computer.Network.Architects,Active Learning,3.62
Telecommunications.Engineering.Specialists,Active Learning,3.75
Database.Administrators,Active Learning,3.88
Database.Architects,Active Learning,3.62
Data.Warehousing.Specialists,Active Learning,3.25
Network.and.Computer.Systems.Administrators,Active Learning,3.75
Computer.Programmers,Active Learning,3.25
Software.Quality.Assurance.Analysts.and.Testers,Active Learning,3
Web.Developers,Active Learning,3.62
Video.Game.Designers,Active Learning,3.62
Web.Administrators,Active Learning,3.75
Geographic.Information.Systems.Technologists.and.Technicians,Active Learning,3.69
Document.Management.Specialists,Active Learning,3.25
Computer.Systems.Engineers/Architects,Active Learning,4
Information.Technology.Project.Managers,Active Learning,3.88
Actuaries,Active Learning,4.12
Mathematicians,Active Learning,5.25
Operations.Research.Analysts,Active Learning,4.12
Statisticians,Active Learning,3.88
Biostatisticians,Active Learning,4.88
Business.Intelligence.Analysts,Active Learning,4.12
Clinical.Data.Managers,Active Learning,4
Bioinformatics.Technicians,Active Learning,3.88
"Architects,.Except.Landscape.and.Naval",Active Learning,4.12
Landscape.Architects,Active Learning,3.75
Cartographers.and.Photogrammetrists,Active Learning,3.38
Surveyors,Active Learning,3.38
Geodetic.Surveyors,Active Learning,3.88
Aerospace.Engineers,Active Learning,3.88
Agricultural.Engineers,Active Learning,3.88
Bioengineers.and.Biomedical.Engineers,Active Learning,4.75
Chemical.Engineers,Active Learning,4.5
Civil.Engineers,Active Learning,4.62
Transportation.Engineers,Active Learning,4
Water/Wastewater.Engineers,Active Learning,4
Computer.Hardware.Engineers,Active Learning,4.12
Electrical.Engineers,Active Learning,3.38
"Electronics.Engineers,.Except.Computer",Active Learning,3.75
Radio.Frequency.Identification.Device.Specialists,Active Learning,3.5
Environmental.Engineers,Active Learning,4.12
"Health.and.Safety.Engineers,.Except.Mining.Safety.Engineers.and.Inspectors",Active Learning,3.88
Fire-Prevention.and.Protection.Engineers,Active Learning,3.88
Industrial.Engineers,Active Learning,3.88
Human.Factors.Engineers.and.Ergonomists,Active Learning,4.25
Validation.Engineers,Active Learning,3.62
Manufacturing.Engineers,Active Learning,4.5
Marine.Engineers.and.Naval.Architects,Active Learning,4.44
Materials.Engineers,Active Learning,4.5
Mechanical.Engineers,Active Learning,4.38
Fuel.Cell.Engineers,Active Learning,3.75
Automotive.Engineers,Active Learning,4.62
"Mining.and.Geological.Engineers,.Including.Mining.Safety.Engineers",Active Learning,4.12
Nuclear.Engineers,Active Learning,4.12
Petroleum.Engineers,Active Learning,3.88
"Energy.Engineers,.Except.Wind.and.Solar",Active Learning,3.88
Mechatronics.Engineers,Active Learning,3.88
Microsystems.Engineers,Active Learning,3.88
Photonics.Engineers,Active Learning,5
Robotics.Engineers,Active Learning,4.5
Nanosystems.Engineers,Active Learning,5
Wind.Energy.Engineers,Active Learning,3.75
Solar.Energy.Systems.Engineers,Active Learning,3.62
Architectural.and.Civil.Drafters,Active Learning,3.13
Electrical.and.Electronics.Drafters,Active Learning,3.12
Mechanical.Drafters,Active Learning,3.62
Aerospace.Engineering.and.Operations.Technologists.and.Technicians,Active Learning,3
Civil.Engineering.Technologists.and.Technicians,Active Learning,3
Electrical.and.Electronic.Engineering.Technologists.and.Technicians,Active Learning,3.38
Electro-Mechanical.and.Mechatronics.Technologists.and.Technicians,Active Learning,3
Robotics.Technicians,Active Learning,3.62
Environmental.Engineering.Technologists.and.Technicians,Active Learning,3.88
Industrial.Engineering.Technologists.and.Technicians,Active Learning,3.62
Nanotechnology.Engineering.Technologists.and.Technicians,Active Learning,3.31
Mechanical.Engineering.Technologists.and.Technicians,Active Learning,3.25
Automotive.Engineering.Technicians,Active Learning,3.12
Non-Destructive.Testing.Specialists,Active Learning,3.5
Photonics.Technicians,Active Learning,3.25
Surveying.and.Mapping.Technicians,Active Learning,2.94
Animal.Scientists,Active Learning,4.38
Food.Scientists.and.Technologists,Active Learning,3.88
Soil.and.Plant.Scientists,Active Learning,4.5
Biochemists.and.Biophysicists,Active Learning,5.25
Microbiologists,Active Learning,4.5
Zoologists.and.Wildlife.Biologists,Active Learning,3.75
Bioinformatics.Scientists,Active Learning,4.25
Molecular.and.Cellular.Biologists,Active Learning,4.62
Geneticists,Active Learning,4.12
Biologists,Active Learning,4.62
Conservation.Scientists,Active Learning,3.75
Range.Managers,Active Learning,3.62
Park.Naturalists,Active Learning,3.12
Foresters,Active Learning,3.62
Epidemiologists,Active Learning,4.62
"Medical.Scientists,.Except.Epidemiologists",Active Learning,5
Astronomers,Active Learning,4.75
Physicists,Active Learning,5.5
Atmospheric.and.Space.Scientists,Active Learning,4
Chemists,Active Learning,4.12
Materials.Scientists,Active Learning,4
"Environmental.Scientists.and.Specialists,.Including.Health",Active Learning,4
Climate.Change.Policy.Analysts,Active Learning,3.88
Environmental.Restoration.Planners,Active Learning,4
Industrial.Ecologists,Active Learning,4
"Geoscientists,.Except.Hydrologists.and.Geographers",Active Learning,3.75
Hydrologists,Active Learning,4.38
Remote.Sensing.Scientists.and.Technologists,Active Learning,3.88
Economists,Active Learning,4
Environmental.Economists,Active Learning,4
Survey.Researchers,Active Learning,4
Industrial-Organizational.Psychologists,Active Learning,4.12
Clinical.and.Counseling.Psychologists,Active Learning,4.06
School.Psychologists,Active Learning,3.88
Sociologists,Active Learning,4.12
Urban.and.Regional.Planners,Active Learning,4.12
Anthropologists.and.Archeologists,Active Learning,4.19
Geographers,Active Learning,3.88
Historians,Active Learning,3.75
Political.Scientists,Active Learning,3.88
Transportation.Planners,Active Learning,3.75
Agricultural.Technicians,Active Learning,3
Precision.Agriculture.Technicians,Active Learning,3.75
Food.Science.Technicians,Active Learning,3.25
Biological.Technicians,Active Learning,3.88
Chemical.Technicians,Active Learning,3.25
